PlayerName,Week,Distance,RunningDistance/Min,HSR,MaxSpeed,SprintMetres,AccelMetres,AccelLoadTotal,AccelLoadDensity,AccelLoadDensityIndex,RHIEfforts/Bout,EWMA_Distance,EWMA_RunningDistance/Min,EWMA_HSR,EWMA_MaxSpeed,EWMA_SprintMetres,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,EWMA_AccelLoadDensityIndex,EWMA_RHIEfforts/Bout,InjuredNextWeek
Athlete CA,104,3761.130188,76.904755,116.2175,7.3142525,0,176.4225,1208.426868,0.414205,3.226945,4.2083325,3636.496296,74.43502143,125.437013,7.46726787,0,165.1056824,1174.391349,0.402412901,3.243999095,4.077149112,0
Athlete CK,104,2543.42891,64.48579,256.412495,6.9188025,0,250.5225,896.7938025,0.385995,3.6640475,8.2321525,2954.96123,61.52397722,221.8975015,6.891744167,0,202.4121914,962.1718579,0.348900802,3.383283056,5.42581287,0
Athlete CQ,104,3922.967477,79.17498,322.87667,8.200233333,0,155.2766667,1059.300157,0.35485,2.684816667,4.219696667,4710.053734,80.18304054,312.8564199,8.278744691,0.232691358,172.7185432,1252.326938,0.354472667,2.653182642,4.457359778,0
Athlete CR,104,4825.75824,74.0266325,326.61,8.36413,4.6,236.415,1406.72516,0.36428,2.950515,4.3651775,4758.115857,73.30187684,308.5632107,8.308221728,3.696666667,221.5622428,1400.849775,0.361875679,2.966016255,4.230253035,0
Athlete D,104,4858.03129,65.81270667,152.2366667,7.51804,0,208.5366667,1471.03276,0.33193,3.02105,3.52778,4705.861466,62.45308433,150.5465926,7.505450272,0,181.540546,1422.317763,0.312787317,3.009021759,3.636263791,0
Athlete E,104,4555.43207,70.952435,118.57,7.0362625,0,157.4475,1418.32171,0.37174,3.13599,2.714285,4203.875528,68.64238682,114.0815036,7.082100919,0,132.3348609,1291.266312,0.352801717,3.080534367,2.999291816,0
Athlete I,104,3511.430588,77.274915,146.4950025,7.0087,0,131.3575,1091.46054,0.3898025,3.0302225,4.0625,3523.296245,76.33719104,150.6803063,7.111166501,0.466977595,134.6196286,1086.322129,0.384043882,3.018778052,3.94691829,0
Athlete J,104,4318.396683,73.1375425,78.065,6.7590275,0,111.05,1301.068863,0.3663925,3.000825,2.6614575,4282.358007,71.29042056,91.21367627,6.96326047,0,110.6724051,1301.301629,0.361352742,3.036914067,3.253189722,0
Athlete Y,104,4315.498533,66.68053,261.5200033,7.49671,0,154.6466667,1260.23235,0.32989,2.96948,2.866666667,4031.616661,68.165095,209.9582089,7.395998095,0.650164304,128.377201,1174.928408,0.335099544,2.952465792,2.85729471,0
Athlete AC,105,5729.98521,78.52037667,285.62667,7.68717,0,138.0066667,1481.942627,0.338536667,2.59705,4.31852,5460.001297,81.87472011,251.9940186,7.395049336,0.019513075,175.4316968,1523.594297,0.385654421,2.830180174,4.026260616,0
Athlete AM,105,2810.739023,71.73996,596.12,7.051473333,0,326.80333,863.5798033,0.35427,3.043406667,15.68889,2767.11784,74.29043612,486.4865437,6.90826744,0.147343393,237.4776397,798.2603535,0.352754313,2.915706414,14.35627624,0
Athlete AO,105,3329.635565,75.493105,364.407505,8.404335,0,190.6825,1036.346425,0.3894975,3.1008975,7.539285,3624.462137,79.68309199,353.346435,8.302663099,1.43219936,214.5415201,1156.720304,0.417803484,3.152737192,6.555377674,0
Athlete AW,105,5400.059807,73.84838,246.07,8.05188,0,258.0033333,1766.63443,0.39984,3.259676667,4.227273333,4599.125476,74.88284703,190.7148314,7.447925449,0.396595009,221.4723667,1507.51565,0.407511356,3.278520433,4.466151974,0
Athlete AZ,105,5024.582563,69.54597,448.28666,8.457473333,12.35666667,266.0066667,1562.873957,0.358023333,3.084573333,4.472223333,5134.113164,74.93483639,420.9214149,8.234218139,7.047037647,282.183061,1613.894956,0.39242793,3.138906169,4.542369343,0
Athlete BA,105,3280.03942,58.11969333,34.58666667,6.175116667,0,80.26333333,1009.64402,0.295283333,3.01336,2.25,3138.298364,59.3938928,29.91817453,6.07825732,0,72.32176417,932.6145678,0.293376038,2.943549696,1.841493273,0
Athlete BD,105,4666.598097,76.69362333,260.5733333,7.99777,0,192.0766633,1410.334413,0.379673333,2.986496667,4.799146667,4733.187137,81.98583397,227.1334028,7.598890274,0.129049885,208.5175011,1449.413487,0.415333294,3.051531684,5.122193655,0
