Distance,HSR,AccelMetres,EWMA_Distance,EWMA_HSR,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,InjuredNextWeek
3269.73,308.02,71.7,3104.320815,246.5284444,71.05703704,1110.096815,0.369407407,0
4278.9375,199.78,144.3975,3385.793881,197.3177577,111.5392751,1194.521356,0.380737268,0
5033.515,279.295,129.43,3719.185123,227.8296914,105.0491358,1278.322716,0.345185185,0
3152.375,148.865,166.575,2949.223333,85.94833333,145.9366667,804.33,0.328333333,0
3715.34,69.495,85.91,3034.410431,65.96804927,65.40412709,1190.13824,0.31994759,0
4364.7825,120.785,106.0925,3580.372983,95.09734476,82.0011254,1315.92276,0.299191487,0
4221.8975,123.795,90.28,3345.502962,117.6037187,72.04780773,1277.043623,0.336341214,0
4721.64,204.42,166.595,3378.11948,174.281795,115.1302099,1323.438934,0.370185374,0
4991.645,100.98,172.49,3771.35295,122.2958891,132.1814047,1426.505074,0.393336822,0
2967.315,128.375,74.995,2203.348395,96.72007142,52.26809657,815.9721971,0.333905285,0
4282.706667,113.56,121.2266667,3405.584978,130.2823002,97.90118984,1189.10719,0.36546808,0
4603.735,127.5875,94.81,3858.278458,104.2334991,82.27528241,1490.110639,0.35023344,0
4572.1925,262.5675,109.68,3834.783507,215.9987395,88.65365006,1211.356178,0.312853733,0
5000.215,432.36,182.27,3453.100968,274.0929667,123.2804818,1200.750153,0.359524239,0
4531.105,120.025,155.51,3369.456593,114.7326627,108.621091,1317.983746,0.314926373,0
3798.8975,73.1725,87.4825,3525.214887,69.34416354,71.75324049,1313.675261,0.333794978,0
4549.703333,173.0033333,120.7733333,3210.670548,240.7786457,97.60615143,1092.883615,0.320206285,0
3322.1775,4.2975,50.02,2845.710286,9.822459121,43.21903023,1086.680041,0.291645458,0
3606.9875,113.28,86.7775,3246.116258,116.4784807,78.22182515,1142.021006,0.273441006,0
4435.1275,262.2575,108.9875,3512.918914,192.8388237,90.68579944,1245.696435,0.37312259,0
