PlayerName,Week,Distance,RunningDistance/Min,HSR,MaxSpeed,SprintMetres,AccelMetres,AccelLoadTotal,AccelLoadDensity,AccelLoadDensityIndex,RHIEfforts/Bout,EWMA_Distance,EWMA_RunningDistance/Min,EWMA_HSR,EWMA_MaxSpeed,EWMA_SprintMetres,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,EWMA_AccelLoadDensityIndex,EWMA_RHIEfforts/Bout,InjuredNextWeek
Athlete AC,19,5152.756667,10.93,197.4433333,7.27,6.423333333,162.4133333,1776.1,0.396666667,3.446666667,5.586666667,3571.743063,12.25404512,199.0088191,6.9785615,19.71114861,112.8846212,1239.881961,0.38134888,3.533843621,4.859254382,0
Athlete B,19,3941.2925,5.375,72.98,6.5,5.1575,92.7375,1487.5175,0.305,3.735,4.945,2984.765991,5.116778278,63.06903556,6.222749277,3.629351852,69.01570397,1122.955206,0.311426991,3.790775533,4.423759602,0
Athlete D,19,4587.8,8.305,194.935,7.585,22.405,127.045,1731.26,0.34,3.75,5.0925,3298.95495,6.753369636,126.6685381,6.845889499,14.0335229,83.6606939,1220.155641,0.31887214,3.690589733,4.287049048,0
Athlete E,19,4488.3375,7.3425,130.795,7.2475,8.54,94.605,1680.8175,0.3475,3.7125,4.765,3789.983749,8.080923547,119.2553419,7.107407823,9.662955762,78.77718443,1396.262062,0.366977255,3.731054546,4.577820222,0
Athlete F,19,4774.3575,7.95,176.14,7.565,34.58,121.34,1806.22,0.365,3.7675,5.4375,3771.009261,7.770449357,124.9996666,7.362016492,25.27575225,89.81708676,1397.142387,0.359689931,3.648230799,5.046170658,0
Athlete G,19,5590.11,13.65666667,349.3,8.213333333,67.95,165.6033333,1936.916667,0.416666667,3.436666667,5.466666667,3973.313694,13.04092278,233.0483071,7.787037688,44.45470096,122.6086428,1378.69569,0.425812269,3.48943074,5.741729088,0
Athlete H,19,4039.8025,7.9225,106.98,6.76,21.02,97.3975,1487.1825,0.3425,3.665,5.575,3341.786576,7.523572668,99.33168009,6.639791604,13.20441654,82.41404106,1238.084469,0.320867975,3.730851364,5.578756033,0
Athlete I,19,4895.533333,13.79666667,269.3233333,7.626666667,30.46333333,118.36,1693.486667,0.373333333,3.443333333,5.526666667,3598.836641,10.54927477,182.2770673,7.347469729,26.42962052,90.61561131,1250.068821,0.344426426,3.467633423,5.517226913,0
Athlete J,19,3701.42,6.316,110.874,5.65,6.606,91.45,1391.542,0.286,2.974,4.02,3796.415158,6.913962008,98.45535352,6.273198831,3.85785596,90.48928129,1432.630133,0.339675083,3.496636638,4.533162887,0
Athlete K,19,3947.146667,5.02,111.58,7.406666667,12.10333333,53.19666667,1277.6,0.286666667,3.293333333,4.603333333,3610.618074,6.570684126,128.3270426,7.731022173,27.41528886,62.90923977,1112.924221,0.28633565,3.047765433,4.497192678,0
Athlete L,19,3226.2525,6.1725,125.225,6.8125,5.795,96.855,1106.72,0.2575,3.3925,4.945,2865.543962,6.411062866,99.69399766,6.599439673,4.152199614,84.56498177,1006.319569,0.304043947,3.504608917,4.733561719,0
Athlete M,19,4705.1825,8.7375,275.295,8.0925,85.9725,149.49,1614.1425,0.325,3.37,4.7125,3744.334558,9.326714714,222.4789508,7.984328808,64.64042657,112.9860511,1261.131648,0.331457245,3.299272324,4.580433022,0
Athlete N,19,4500.6525,10.545,230.4725,7.625,58.5475,184.3975,1646.0325,0.3475,3.645,5.4925,3806.52374,10.80099202,180.6816434,7.22170377,34.66880773,144.955684,1401.519819,0.368486782,3.672159139,5.704965178,0
Athlete O,19,3861.4625,6.58,58.19,6.3425,6.4975,83.855,1418.9625,0.345,3.6625,4.9375,3301.934649,6.889629586,46.48444653,6.159567912,2.165833333,68.6440824,1197.012884,0.342447415,3.626654491,4.748040813,0
Athlete P,19,2864.86,2.78,15.83,5.76,0,52.14,944.96,0.28,3.3,5,4394.856889,4.700888889,33.57755556,6.013777778,0,96.84325926,1544.352741,0.312888889,3.473333333,4.934518519,0
Athlete Q,19,4072.036667,4.09,25.52666667,5.92,0,68.06666667,1516.893333,0.286666667,3.693333333,4.796666667,3248.921087,4.406401158,15.2835078,5.689563176,0,50.64498176,1213.78019,0.310236041,3.747157242,4.205182848,0
Athlete R,19,3605.2475,4.18,38.29,5.89,0,73.0525,1285.585,0.2975,3.5725,4.3425,2830.242495,3.951799268,21.38646463,5.734199986,0,50.07968725,992.5675621,0.271277795,3.494946019,3.930421472,0
Athlete S,19,5496.5875,13.1775,319.9975,8.0375,50.825,103.9925,1893.345,0.395,3.43,6.9725,4372.088843,13.0736618,219.1230351,7.765083363,36.73366176,79.91773178,1489.135365,0.393998007,3.373563425,7.015411142,0
Athlete T,19,3850.66,5.49,120.4725,7.35,31.485,89.74,1355.0675,0.295,3.545,4.46,3202.858494,6.444559772,108.0940139,7.323011313,24.97831911,81.52083007,1118.080803,0.318534014,3.489424207,4.567462108,0
Athlete U,19,4579.325,11.5825,221.985,7.6225,56.09,129.7675,1519.4625,0.3725,3.35,5.25,4018.880423,11.08425987,198.9989235,7.634239713,44.48292328,109.8878694,1346.487588,0.381609892,3.352369049,5.175212902,0
Athlete V,19,4288.066667,7.903333333,122.4533333,6.566666667,0.7,82.00333333,1490.763333,0.33,3.463333333,5.123333333,3147.177225,7.116800793,87.08019096,6.218511948,0.608325628,63.96908578,1103.698353,0.31731589,3.562022964,4.576111602,0
Athlete Z,19,4130.99,6.743333333,133.43,7.08,21.70666667,126.12,1540.536667,0.293333333,3.763333333,5.606666667,3183.490497,7.590592593,119.7877851,6.671050754,14.25161774,92.82719159,1175.163551,0.32693187,3.818835848,5.00707636,0
Athlete AB,20,4666.24,20.93,487.59,8.5,106.95,104.56,1519.76,0.44,3.26,6.05,2441.654,13.302,193.716,7.52,29.474,52.04,853.818,0.368,3.566,6.194,0
Athlete AC,20,2564.235,10.89333333,121.115,6.878333333,14.07833333,77.165,873.505,0.37,3.468333333,4.88,3179.541409,10.49913532,140.0960947,6.824888354,12.02246795,96.2679771,1087.862734,0.365092149,3.477942076,4.696258272,0
Athlete B,20,2506.068333,6.765,51.06666667,6.031666667,0,52.52166667,962.6366667,0.335,4.018333333,4.3,2661.373665,6.181717609,54.40950249,6.104404907,0.929326492,58.49586617,1013.92039,0.311720596,3.965500534,4.300635604,0
Athlete D,20,1978.045,8.691666667,66.915,6.708333333,5.545,55.19166667,692.1566667,0.301666667,3.648333333,4.086666667,2584.589577,8.16260512,98.69268063,6.88850764,9.863004061,69.72776224,938.1066171,0.305274342,3.659703313,4.167389847,0
Athlete E,20,3105.136,8.478,86.16,6.908,6.578,75.018,1154.24,0.384,3.788,4.864,3272.155642,8.25159027,95.79939015,6.905965372,5.333009998,77.07307538,1223.911508,0.368367469,3.809176582,4.853839877,0
Athlete F,20,2836.064,12,153.452,7.692,38.276,81.746,1041.738,0.374,3.618,4.632,3299.842065,10.77851128,155.259318,7.713076172,41.42478478,90.85411421,1225.13612,0.363945841,3.630828727,4.66572977,0
