Distance,HSR,AccelMetres,EWMA_Distance,EWMA_HSR,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,InjuredNextTrainingSession
2097.28,151.23,54.21,2337.304665,174.2195117,68.94177479,794.0462188,0.49261483,0
4166.87,261.97,157.64,2947.159776,203.4696745,98.50784986,1069.130813,0.498409887,0
3348.71,177.32,91.55,3081.009851,194.7531163,96.18856657,1093.540542,0.472273258,0
3573.5,290.85,114.74,3245.173234,226.7854109,102.3723777,1133.100361,0.471515505,0
3348.71,177.32,91.55,3279.685489,210.2969406,98.76491848,1136.186907,0.45434367,0
4100.89,172.09,129.87,3553.420326,197.5612937,109.133279,1243.791272,0.469562447,0
4176.16,135.09,52.22,3761.000217,176.7375291,90.16218599,1331.660848,0.463041631,0
4288.1,207.49,125.6,3936.700145,186.9883528,101.9747907,1403.717232,0.455361087,0
3956.12,432.21,211.27,3943.17343,268.7289018,138.4065271,1453.321488,0.446907392,0
2115.98,429.76,150.97,3334.108953,322.4059346,142.5943514,1230.764325,0.461271594,0
4607.14,399.13,103.11,3758.452636,347.980623,129.4329009,1305.04955,0.444181063,0
5680.94,305.53,189.28,4399.281757,333.8304154,149.381934,1587.493033,0.466120709,0
5797.01,293.43,103.23,4865.191171,320.3636102,133.997956,1679.488689,0.457413806,0
4701.06,212.11,179.53,4810.480781,284.2790735,149.175304,1705.875793,0.468275871,0
6384.18,858.72,270.73,5335.047187,475.7593823,189.693536,1638.910528,0.43885058,0
3192.73,4.47,70.54,4620.941458,318.6629216,149.9756907,1584.523686,0.38923372,0
5736.92,14.44,38.21,4992.934305,217.255281,112.7204604,1393.16579,0.359489147,0
5898.76,1063.3,311.13,5294.876204,499.2701874,178.8569736,1438.027194,0.379659431,0
1903.17,0,51.74,4164.307469,332.8467916,136.4846491,1319.318129,0.373106287,0
4410.55,816.36,300.16,4246.388313,494.017861,191.0430994,1311.258753,0.392070858,0
3779.62,176.68,265.73,4090.798875,388.238574,215.9387329,1447.842502,0.438047239,0
4498.24,1053.12,355.83,4226.612583,609.865716,262.5691553,1401.851668,0.435364826,0
5166.71,1423.16,470.74,4539.978389,880.9638107,331.9594369,1450.694445,0.453576551,0
5082.83,79.49,283.05,4720.928926,613.8058738,315.6562912,1580.17963,0.482384367,0
4803.96,526.27,140.12,4748.605951,584.6272492,257.1441942,1517.199753,0.451589578,0
3354.85,357.31,277.35,4284.020634,508.8548328,263.8794628,1489.733169,0.441059719,0
4373.62,377.45,145.44,4313.887089,465.0532219,224.3996418,1487.958779,0.464039812,0
3946.96,80.33,129.93,4191.578059,336.8121479,192.9097612,1363.915853,0.436026542,0
5024.46,853.72,246.18,4469.205373,509.1147653,210.6665075,1530.027235,0.464017694,0
3788.62,277.87,214.3,4242.343582,432.0331768,211.8776717,1651.73149,0.486011796,0
